Security,Ticker,CIK,Watchlist Type,Primary Entity Hint,Secondary Entity Hint
Universal Health Services,UHS,0000352915,equity,organization,financial_instrument
Valero Energy,VLO,0001035002,equity,organization,financial_instrument
"Ventas"")",VTR,0000740260,equity,organization,financial_instrument
Veralto,VLTO,0001967680,equity,organization,financial_instrument
Verisign,VRSN,0001014473,equity,organization,financial_instrument
Verisk Analytics,VRSK,0001442145,equity,organization,financial_instrument
Verizon,VZ,0000732712,equity,organization,financial_instrument
Vertex Pharmaceuticals,VRTX,0000875320,equity,organization,financial_instrument
Vertiv,VRT,0001674101,equity,organization,financial_instrument
Viatris,VTRS,0001792044,equity,organization,financial_instrument
Vici Properties,VICI,0001705696,equity,organization,financial_instrument
Visa Inc.,V,0001403161,equity,organization,financial_instrument
Vistra Corp.,VST,0001692819,equity,organization,financial_instrument
Vulcan Materials Company,VMC,0001396009,equity,organization,financial_instrument
W. R. Berkley Corporation,WRB,0000011544,equity,organization,financial_instrument
W. W. Grainger,GWW,0000277135,equity,organization,financial_instrument
Wabtec,WAB,0000943452,equity,organization,financial_instrument
Walmart,WMT,0000104169,equity,organization,financial_instrument
Walt Disney Company (The),DIS,0001744489,equity,organization,financial_instrument
Warner Bros. Discovery,WBD,0001437107,equity,organization,financial_instrument
Waste Management,WM,0000823768,equity,organization,financial_instrument
Waters Corporation,WAT,0001000697,equity,organization,financial_instrument
WEC Energy Group,WEC,0000783325,equity,organization,financial_instrument
Wells Fargo,WFC,0000072971,equity,organization,financial_instrument
Welltower,WELL,0000766704,equity,organization,financial_instrument
West Pharmaceutical Services,WST,0000105770,equity,organization,financial_instrument
Western Digital,WDC,0000106040,equity,organization,financial_instrument
Weyerhaeuser,WY,0000106535,equity,organization,financial_instrument
"Williams-Sonoma, Inc.",WSM,0000719955,equity,organization,financial_instrument
Williams Companies,WMB,0000107263,equity,organization,financial_instrument
Willis Towers Watson,WTW,0001140536,equity,organization,financial_instrument
"Workday, Inc.",WDAY,0001327811,equity,organization,financial_instrument
Wynn Resorts,WYNN,0001174922,equity,organization,financial_instrument
Xcel Energy,XEL,0000072903,equity,organization,financial_instrument
Xylem Inc.,XYL,0001524472,equity,organization,financial_instrument
Yum! Brands,YUM,0001041061,equity,organization,financial_instrument
Zebra Technologies,ZBRA,0000877212,equity,organization,financial_instrument
Zimmer Biomet,ZBH,0001136869,equity,organization,financial_instrument
Zoetis,ZTS,0001555280,equity,organization,financial_instrument
